#,VIB ID,Equipment ID,Date,Axial (mm/s),Gear (mm/s),Horizontal (mm/s),Vertical (mm/s)
5901,Vb-741.CP110-MDE-RMS,741.CP110,2026-04-26,3.95,,3.91,4.08
5902,Vb-741.CP110-MNDE-RMS,741.CP110,2026-04-26,3.27,,3.04,1.63
5903,Vb-741.CP111-CDE-RMS,741.CP111,2026-03-24,3.05,,2.89,2.47
5904,Vb-741.CP111-CNDE-RMS,741.CP111,2026-03-24,5.82,,4.64,5.24
5905,Vb-741.CP111-MDE-RMS,741.CP111,2026-03-24,4.82,,2.47,2.73
5906,Vb-741.CP111-MNDE-RMS,741.CP111,2026-03-24,2.39,,3.66,3.82
5907,Vb-742.CP111-CDE-RMS,742.CP111,2026-01-04,4.71,,1.48,3.87
5908,Vb-742.CP111-CNDE-RMS,742.CP111,2026-01-04,4.9,,4.05,5.28
5909,Vb-742.CP111-MDE-RMS,742.CP111,2026-01-04,1.94,,1.49,1.81
5910,Vb-742.CP111-MNDE-RMS,742.CP111,2026-01-04,,,1.09,0.81
5911,Vb-741.CP112-CDE-RMS,741.CP112,2026-04-26,4.55,,4.35,5.85
5912,Vb-741.CP112-CNDE-RMS,741.CP112,2026-04-26,3.58,,4.86,4.99
5913,Vb-741.CP112-MDE-RMS,741.CP112,2026-04-26,4.98,,3.19,2.63
5914,Vb-741.CP112-MNDE-RMS,741.CP112,2026-04-26,4.69,,4.34,2.06
5915,Vb-742.CP112-CDE-RMS,742.CP112,2026-01-04,5.19,,3.12,5.46
5916,Vb-742.CP112-CNDE-RMS,742.CP112,2026-01-04,4.8,,5.22,8.45
5917,Vb-742.CP112-MDE-RMS,742.CP112,2026-01-04,6.31,,3.91,3.44
5918,Vb-742.CP112-MNDE-RMS,742.CP112,2026-01-04,3.07,,2.72,1.38
5919,Vb-741.CP113-CDE-RMS,741.CP113,2026-04-26,3.09,,4.43,4.26
5920,Vb-741.CP113-CNDE-RMS,741.CP113,2026-04-26,2.87,,2.05,3.82
5921,Vb-741.CP113-MDE-RMS,741.CP113,2026-04-26,2.49,,2.13,1.91
5922,Vb-741.CP113-MNDE-RMS,741.CP113,2026-04-26,1.67,,4.58,3.77
5923,Vb-742.CP113-CDE-RMS,742.CP113,2026-01-04,0.73,,2.78,1.9
5924,Vb-742.CP113-CNDE-RMS,742.CP113,2026-01-04,1.59,,1.5,0.94
